satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
9.0,2025-05-23T16:52:35.680152,2025-04-22T12:53:04,1745326384.0,2.789075,48.32,357.38,vehicle_01,41.94394,63.68,1.0,2025-04-22 12:53:04,166.8566850360205,7.0,85.81200944709626
9.0,2025-05-23T16:52:35.685196,2025-04-22T12:53:12,1745326392.0,2.788955,44.94,357.28,vehicle_01,41.94562,64.09,1.0,2025-04-22 12:53:12,187.07092905913956,8.0,84.1819180766128
9.0,2025-05-23T16:52:35.690241,2025-04-22T12:53:19,1745326399.0,2.788779,44.3,355.33,vehicle_01,41.94707,64.01,1.0,2025-04-22 12:53:19,161.888348971271,7.0,83.2568651852251
9.0,2025-05-23T16:52:35.695469,2025-04-22T12:53:26,1745326406.0,2.788556,42.4,350.7,vehicle_01,41.94844,65.81,1.0,2025-04-22 12:53:26,153.44934687666063,7.0,78.91680696513976
10.0,2025-05-23T16:52:35.700477,2025-04-22T12:53:34,1745326414.0,2.788134,41.97,348.58,vehicle_01,41.94994,65.08,1.0,2025-04-22 12:53:34,170.4044190631841,8.0,76.68198857843285
10.0,2025-05-23T16:52:35.705518,2025-04-22T12:53:41,1745326421.0,2.787713,42.07,346.79,vehicle_01,41.95126,64.72,1.0,2025-04-22 12:53:41,150.8499992764134,7.0,77.57999962786975
11.0,2025-05-23T16:52:35.710694,2025-04-22T12:53:48,1745326428.0,2.787255,44.44,343.97,vehicle_01,41.95257,65.9,1.0,2025-04-22 12:53:48,150.50882185573235,7.0,77.40453695437664
11.0,2025-05-23T16:52:35.715926,2025-04-22T12:53:56,1745326436.0,2.786587,47.29,342.27,vehicle_01,41.95419,67.21,1.0,2025-04-22 12:53:56,188.41535287532798,8.0,84.7869087938976
11.0,2025-05-23T16:52:35.721106,2025-04-22T12:54:03,1745326443.0,2.785892,47.43,340.39,vehicle_01,41.95564,68.4,1.0,2025-04-22 12:54:03,171.16924587503448,7.0,88.02989787858915
11.0,2025-05-23T16:52:35.726421,2025-04-22T12:54:10,1745326450.0,2.785137,47.38,336.99,vehicle_01,41.95707,69.63,1.0,2025-04-22 12:54:10,170.82581748456604,7.0,87.8532775634911
11.0,2025-05-23T16:52:35.731943,2025-04-22T12:54:18,1745326458.0,2.784178,47.26,335.69,vehicle_01,41.95864,69.57,1.0,2025-04-22 12:54:18,191.74209052230154,8.0,86.2839407350357
